"0","115003","1997-07-22 16:37:16"
"0","212360","1990-08-22 21:05:08"
"0","87122","2002-06-07 21:09:22"
"0","477519","1994-05-14 08:46:15"
"0","206271","2009-09-13 00:56:31"
"0","71737","1984-11-12 10:09:48"
"0","584143","2004-05-06 01:26:19"
"0","448986","1979-06-24 16:00:13"
"0","353213","1989-03-07 02:49:29"
"0","627686","1979-07-06 09:36:23"
"0","531299","2021-06-07 14:46:20"
"0","359680","1976-06-15 00:45:06"
"0","495607","2012-01-30 15:28:30"
"0","566839","1987-01-18 08:51:07"
"0","412370","2006-03-29 22:34:49"
"0","477550","2017-12-27 03:37:52"
"0","328523","2010-12-17 08:34:11"
"0","27274","1980-01-01 17:53:24"
"0","182821","1991-02-08 18:14:04"
"0","199670","1976-09-20 18:37:42"
"0","207211","2019-09-01 01:35:57"
"0","156254","1975-01-07 21:04:25"
"0","118872","2016-07-18 12:18:29"
"0","377741","1992-06-21 02:18:55"
"0","328234","2002-02-17 04:06:03"
"0","360882","2008-02-05 05:52:15"
"0","606358","1976-11-07 22:36:42"
"0","110198","1994-01-28 12:44:51"
"0","570475","1999-07-19 09:35:13"
"0","179728","1991-07-09 02:40:42"
"0","282138","2011-07-28 16:16:28"
"0","517060","2013-07-31 19:26:23"
"0","120473","1983-12-01 07:43:32"
"0","313678","2007-08-08 01:12:34"
"0","220136","2002-06-18 03:24:51"
"0","412172","2000-02-16 04:52:25"
"0","293664","2005-06-24 07:33:33"
"1","344458","1987-09-23 13:42:57"
"1","11222","1974-03-28 23:13:05"
"1","306428","2007-05-04 23:52:51"
"1","515737","1970-12-16 00:12:04"
"1","508445","1976-05-07 06:50:06"
"1","211818","2018-12-23 08:33:58"
"1","455162","1997-02-20 19:30:32"
"1","367367","2018-05-02 10:40:11"
"1","259970","2015-06-21 00:54:24"
"1","413846","2012-07-20 01:35:46"
"1","395688","1970-01-29 09:42:58"
"1","222878","2011-08-22 18:49:50"
"1","124676","2003-08-03 22:39:59"
"1","489356","1992-09-02 02:50:57"
"1","504966","1986-08-07 10:30:13"
"1","561054","2019-09-12 04:08:29"
"1","358758","1992-02-17 23:57:25"
"1","101174","2017-11-19 03:07:33"
"1","6702","1974-04-15 11:35:02"
"1","306590","1983-01-01 23:57:26"
"1","180541","2008-08-14 13:20:39"
"1","231689","1985-02-01 11:31:35"
"2","52255","1986-03-28 19:56:43"
"2","531146","1979-09-12 17:12:57"
"2","387412","2006-12-14 02:07:28"
"2","298526","2000-06-26 08:15:30"
"2","566179","1976-03-17 04:26:09"
"2","317252","1975-06-23 11:47:52"
"2","578007","1991-10-13 00:00:17"
"2","347102","2004-07-25 22:23:39"
"2","452858","2003-04-19 06:56:01"
"2","159555","1977-06-03 15:32:24"
"2","437764","1990-07-07 12:00:53"
"2","231460","2007-07-07 19:43:23"
"2","32597","1989-10-23 02:20:49"
"2","61297","2018-01-30 16:18:06"
"2","378191","1978-06-30 04:29:24"
"2","502474","2007-04-03 17:13:25"
"2","259788","1992-08-23 13:24:45"
"2","485059","2006-10-07 19:43:28"
"2","315165","1983-10-30 14:37:34"
"2","566225","2011-01-18 06:14:33"
